CatalogNumber,Country,NearestPlace,Locality,Material,Function,Period,CDLI,OriginalNumber,Date,Genre,Lines,PrimaryPublication,Transliteration,ImageURIs
BC.002093,Iraq,Uruk (Warka),,clay,tablet,Hellenistic,P296725,MLC 02147,DEM.SE.157.xx.03,archival,"obv17, LoE1, rev18, UE2","BRM 2, 47 (C)",Bit Re$ archive; legal transaction,http://deliver.odai.yale.edu/content/repository/YPM/id/593653/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593654/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593655/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593656/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593657/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593658/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593659/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593660/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593661/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593662/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593663/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593664/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593665/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593666/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593667/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593668/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593669/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593670/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593671/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593672/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593673/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593674/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593675/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593676/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593677/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593678/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593679/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593680/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593681/format/3
BC.002101,Iraq,Uruk (Warka),,clay,tablet,Hellenistic,P296733,MLC 02155,xx.xx.xx.xx.xx,archival,obv20,"BRM 2, 55 (C)",Bit Re$ archive; legal transaction,http://deliver.odai.yale.edu/content/repository/YPM/id/593682/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593683/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593684/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593685/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593686/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593687/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593688/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593689/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593690/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593691/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593692/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593693/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593694/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593695/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593696/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593697/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593698/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593699/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593700/format/3
BC.002103,Iraq,Uruk (Warka),,clay,tablet,Hellenistic,P296735,MLC 02157,SEL.SE.78.09.01,archival,"obv15, rev17","YOS 20, 39 (C)",Bit Re$ archive; legal transaction,http://deliver.odai.yale.edu/content/repository/YPM/id/593701/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593702/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593703/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593704/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593705/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593706/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593707/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593708/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593709/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593710/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593711/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593712/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593713/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593714/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593715/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593716/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593717/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593718/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593719/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593720/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593721/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593722/format/3
BC.002111,Iraq,Uruk (Warka),,clay,tablet,Hellenistic,P296741,MLC 02165,AA.SE.108.07.18,archival,"obv16, rev11+","YOS 20, 51 (C)",Bit Re$ archive; legal transaction,http://deliver.odai.yale.edu/content/repository/YPM/id/593723/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593724/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593725/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593726/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593727/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593728/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593729/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593730/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593731/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593732/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593733/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593734/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593735/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593736/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593737/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593738/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593739/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593740/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593741/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593742/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593743/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593744/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593745/format/3
BC.002119,Iraq,Uruk (Warka),,clay,tablet,Hellenistic,P296749,MLC 02173,xx.SE.144.xx.xx,archival,"obv17, rev15","BRM 2, 56 (C)",Bit Re$ archive; legal transaction,http://deliver.odai.yale.edu/content/repository/YPM/id/593746/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593747/format/3
BC.002123,Iraq,Uruk (Warka),,clay,tablet,Hellenistic,P296753,MLC 02177,AA.SE.107.xx.xx?,archival,"obv19, rev19","YOS 20, 50 (C)",Bit Re$ archive; legal transaction,http://deliver.odai.yale.edu/content/repository/YPM/id/593748/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593749/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593750/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593751/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593752/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593753/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593754/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593755/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593756/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593757/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593758/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593759/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593760/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593761/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593762/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593763/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593764/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593765/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593766/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593767/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593768/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593769/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593770/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593771/format/3
BC.002129,Iraq,Uruk (Warka),,clay,tablet,Hellenistic,P504589,MLC 02183,SEL.SE.131.xx.xx,archival,"obv18, rev17+","YOS 20, 67 (C)",Bit Re$ archive; legal transaction,http://deliver.odai.yale.edu/content/repository/YPM/id/593772/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593773/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593774/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593775/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593776/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593777/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593778/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593779/format/3
BC.002131,Iraq,Uruk (Warka),,clay,tablet,Hellenistic,P296761,MLC 02185,xx.SE.155.11.17,archival,"obv17, rev14","YOS 20, 75 (C)",Bit Re$ archive; legal transaction,http://deliver.odai.yale.edu/content/repository/YPM/id/593780/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593781/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593782/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593783/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593784/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593785/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593786/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593787/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593788/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593789/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593790/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593791/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593792/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593793/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593794/format/3
BC.002134,Iraq,Uruk (Warka),,clay,tablet,Hellenistic,P296764,MLC 02188,AA.SE.106.09.14,archival,"obv15, rev16","YOS 20, 49 (C)",Bit Re$ archive; legal transaction,http://deliver.odai.yale.edu/content/repository/YPM/id/593795/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593796/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593797/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593798/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593799/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593800/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593801/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593802/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593803/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593804/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593805/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593806/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593807/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593808/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593809/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593810/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593811/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593812/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593813/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593814/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593815/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593816/format/3
BC.002136,Iraq,Uruk (Warka),,clay,tablet,Hellenistic,P507395,MLC 02190,SEL.SE.77.03.04,scientific,"obv10, rev5","Sachs, JCS 6, 1952, 60f, PltIII (P, T, Tr)",,http://deliver.odai.yale.edu/content/repository/YPM/id/712595/format/3
BC.002139,Iraq,Uruk (Warka),,clay,tablet,Hellenistic,P296768,MLC 02193,nd,archival,obv17,"YOS 20, 100 (C)",Bit Re$ archive; administrative transaction,http://deliver.odai.yale.edu/content/repository/YPM/id/593817/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593818/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593819/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593820/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593821/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593822/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593823/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593824/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593825/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593826/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593827/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/602903/format/3
BC.002143,Iraq,Uruk (Warka),,clay,tablet,Hellenistic,P296770,MLC 02197,AA.SE.138.xx.18,archival,"obv14+, rev11","YOS 20, 69 (C)",Bit Re$ archive; legal transaction,http://deliver.odai.yale.edu/content/repository/YPM/id/593828/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593829/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593830/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593831/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593832/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593833/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593834/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593835/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593836/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593837/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593838/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593839/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593840/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593841/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593842/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593843/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593844/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593845/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593846/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593847/format/3
BC.002145,Iraq,Uruk (Warka),,clay,tablet,Late Babylonian,P507536,MLC 02199,nd or broken,archival,"obv9, LoE1, rev6",unpublished,,http://deliver.odai.yale.edu/content/repository/YPM/id/712596/format/3
BC.002147,Iraq,Uruk (Warka),,clay,tablet,Hellenistic,P296773,MLC 02201,AA.SE.116.02.12,archival,"obv17+, rev5+","YOS 20, 55 (C)",Bit Re$ archive; legal transaction,http://deliver.odai.yale.edu/content/repository/YPM/id/593848/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593849/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593850/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593851/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593852/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593853/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593854/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593855/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593856/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593857/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593858/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593859/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593860/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593861/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593862/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593863/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593864/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593865/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593866/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593867/format/3
BC.002150,,,,clay,tablet,Hellenistic,P507500,MLC 02203,nd,canonical,"obv6, rev0",unpublished,,http://deliver.odai.yale.edu/content/repository/YPM/id/712597/format/3
BC.002256,Iraq,Umma (Tell Jokha),,clay,tag,Ur III,P296868,MLC 02309,$S.UR3.05.02.29,archival,18,unpublished,sa2-du11 ka$,http://deliver.odai.yale.edu/content/repository/YPM/id/712598/format/3
BC.002261,Iraq,Umma (Tell Jokha),,clay,tag,Ur III,P107254,MLC 02314,IS.UR3.01.11.--,archival,15+,"BRM 3, 32 (C)",siskur2 u4-da gaba-ri-a,http://deliver.odai.yale.edu/content/repository/YPM/id/593868/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593869/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593870/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593871/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593872/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593873/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593874/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593875/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593876/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593877/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593878/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593879/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593880/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593881/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593882/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593883/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593884/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593885/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593886/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593887/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593888/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593889/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593890/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593891/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593892/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593893/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593894/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593895/format/8
BC.002301,Iraq,Drehem,,clay,tag,Ur III,P107357,MLC 02354,nd.UR3.--.--.--,archival,7,"BRM 3, 156 (C)",mu-tum2 u2 zi-ga ni3-ka9-ak kit-tum ki$ib bala-a d.en-lil2-la2 egir ab-ba-$a-ga,http://deliver.odai.yale.edu/content/repository/YPM/id/593896/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593897/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593898/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593899/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593900/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593901/format/8
BC.002304,,,,clay,tag,Ur III,P107269,MLC 02357,nd.UR3.--.--.--,archival,obv2,"BRM 3, 52 (C)",lugal-me-lam2,http://deliver.odai.yale.edu/content/repository/YPM/id/593902/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593903/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593904/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593905/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593906/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593907/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593908/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593909/format/3
BC.002382,Iraq,Drehem,,clay,tag,Ur III,P107351,MLC 02435,$S.UR3.09.05.30,archival,"obv5, rev2","BRM 3, 150 (C)",,http://deliver.odai.yale.edu/content/repository/YPM/id/593910/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593911/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593912/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593913/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593914/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593915/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593916/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593917/format/3
BC.002387,Iraq,Drehem,,clay,tag,Ur III,P107356,MLC 02440,--.UR3.lost,archival,"obv3, rev2","BRM 3, 155 (C)","ka$, ninda",http://deliver.odai.yale.edu/content/repository/YPM/id/593918/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593919/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593920/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593921/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593922/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593923/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593924/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593925/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593926/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593927/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593928/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593929/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593930/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593931/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593932/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593933/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593934/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593935/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593936/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593937/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593938/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593939/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593940/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593941/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593942/format/8
BC.002556,,,,clay,tablet,Late Babylonian,P297010,MLC 02609,nd,canonical,"obv16, rev12","BRM 4, 18 (C)",,http://deliver.odai.yale.edu/content/repository/YPM/id/603799/format/3
BC.002575,,,,clay,tablet,Neo-Assyrian,P297024,MLC 02627,nd,canonical,"obv3+ cols, rev2+ cols","BRM 4, 24 (C)",,http://deliver.odai.yale.edu/content/repository/YPM/id/712599/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593943/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/593944/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593945/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593946/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593947/format/3
BC.002577,Iraq,Uruk (Warka),,stone,tablet,Ur III,P504590,MLC 02629,nd.UR3.--.--.--,monumental,"obv7, rev3","BRM 4, 44 (C)",,http://deliver.odai.yale.edu/content/repository/YPM/id/854550/format/3
BC.002580,Iraq,Uruk (Warka)?,,clay,,Hellenistic,P297025,MLC 02632,nd,monumental,2,"BRM 4, 58 (C), p54 (T, Tr)","Aristeas, whose other name was Ardi-belti",http://deliver.odai.yale.edu/content/repository/YPM/id/602904/format/3
BC.002601,Iraq,Uruk (Warka),,clay,tablet,Hellenistic,P297041,MLC 02653,ANT.SE.xx.xx.xx?,archival,"obv26, rev19","YOS 20, 87 (C)",Bit Re$ archive; administrative transaction,http://deliver.odai.yale.edu/content/repository/YPM/id/593948/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593949/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593950/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593951/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593952/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593953/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593954/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593955/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593956/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593957/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593958/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593959/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593960/format/3
BC.002602,Iraq,Uruk (Warka),,clay,tablet,Hellenistic,P297042,MLC 02654,SEL.SE.17.02.09,archival,"obv9+, rev9","YOS 20, 10 (C)",Bit Re$ archive; legal transaction,http://deliver.odai.yale.edu/content/repository/YPM/id/593961/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593962/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593963/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593964/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593965/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593966/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593967/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593968/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593969/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593970/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593971/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593972/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593973/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593974/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593975/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593976/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593977/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593978/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593979/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593980/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593981/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593982/format/3
BC.002607,,,,clay,"containers (pots, etc.)",Sassanian,P297045,MLC 02659,nd,canonical,uncertain,unpublished,,http://deliver.odai.yale.edu/content/repository/YPM/id/602905/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/602906/format/3
