CatalogNumber,Country,NearestPlace,Locality,Material,Function,Period,CDLI,OriginalNumber,Date,Genre,Lines,PrimaryPublication,Transliteration,ImageURIs
BC.000757,Iraq,Borsippa (Birs Nimrud),,clay,tablet,Early Achaemenid,P295541,MLC 00752,DAR1.AC.22.08.xx?,archival,"obv7, rev9, UE1",unpublished,Ea-iluta-bani archive; legal transaction,http://deliver.odai.yale.edu/content/repository/YPM/id/602901/format/8
BC.001020,,,,clay,tablet,Early Achaemenid,P295796,MLC 01015,DAR1.AC.34.04.13,archival,"obv4, LoE1, rev2",unpublished,archive unknown; administrative transaction,http://deliver.odai.yale.edu/content/repository/YPM/id/592751/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592749/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592750/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592752/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592753/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592754/format/3
BC.001043,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P107348,MLC 01038,IS.UR3.05.10.--,archival,"obv4, rev2","BRM 3, 147 (C)",,http://deliver.odai.yale.edu/content/repository/YPM/id/592940/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592941/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592942/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592943/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592944/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592945/format/3
BC.001212,,,,clay,tablet,Old Babylonian,P295977,MLC 01207,SAIL.BA.07.01.25,canonical,"obv20+, LoE2, rev12, LeE2","YOS 11, 85 (C)",,http://deliver.odai.yale.edu/content/repository/YPM/id/592946/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592947/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592948/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592949/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592950/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592951/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592952/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592953/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592954/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592955/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592956/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592957/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592958/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592959/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592960/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592961/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592962/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592963/format/3
BC.001225,,,,clay,tablet,Old Babylonian,P295989,MLC 01220,HARA.BA.14.xx.22,archival,"obv15, LoE1, rev15","Frayne, RIM E4.3.6.2022 (T, Tr)",10 e$e iku a-$a3 ina Ki$.ki by Eli-erissa dumu-munus Il$u-ibni$u to Ibbi-Sin dumu Awil-$ama$; 1 1/2 ma-na ku3-babbar in-na-an-la2 u 1 1/2 gin2 ku3-babbar si-bi i$kun; mu Marduk Zababa u Hammurabi lugal in-pad3-de3-me$,http://deliver.odai.yale.edu/content/repository/YPM/id/592964/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592965/format/3
BC.001353,,,,clay,tablet,Old Babylonian,P254726,MLC 01354,nd,scientific,"obv9, rev2+","MCT 56-57 (T, Tr), pl.47 (P), pl.21 (C)",gan2-u4-sakarx,http://deliver.odai.yale.edu/content/repository/YPM/id/712582/format/3
BC.001355,,,,clay,tablet,Neo-Babylonian,P507497,MLC 01356,xx.NB.xx.xx.xx,archival,"obv19, rev0",unpublished,,http://deliver.odai.yale.edu/content/repository/YPM/id/592966/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592967/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592968/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592969/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592970/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592971/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592972/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592973/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592974/format/3
BC.001357,,,,clay,tablet,Old Babylonian,P296112,MLC 01359,nd,canonical,"obv2+ cols, rev2+ cols","Civil, Farmer's Instructions, pl.xiii-xiv (P); p. 45-50 (T)",,http://deliver.odai.yale.edu/content/repository/YPM/id/719495/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/719502/format/3
BC.001362,,,,clay,tablet,Old Babylonian,P296115,MLC 01364,nd,canonical,"obv2 cols, rev2 cols","Finkelstein, JCS 11, 1957, 83-88 (C, T, Tr)",,http://deliver.odai.yale.edu/content/repository/YPM/id/712585/format/3
BC.001544,,,,clay,tablet,Old Babylonian,P296240,MLC 01546,SAIL.BA.08.07.20,archival,"obv8, LoE2, rev10, UE2",unpublished,1 ma2 10 gur Warad-Amurrum mu-ni $a Ahum-waqar dumu ... ki Ahum-waqar dumu ... lugal-a-ni-ir-me$ Nam-ti-la-ni-NI-KAM(?) ana tabliltim ana iti-2-kam in-hun-me$ ina iti-1-kam u4-3-kam u$esi a2-bi iti-2-kam 4 gin2 ku3-babbar mahir,http://deliver.odai.yale.edu/content/repository/YPM/id/592975/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592976/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592977/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592978/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592979/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592980/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592981/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592982/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592983/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592984/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592985/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592986/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592987/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592988/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592989/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592990/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592991/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592992/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592993/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592994/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592995/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592996/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592997/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592998/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592999/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593000/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593001/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593002/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593003/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593004/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593005/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593006/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593007/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593008/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593009/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593010/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593011/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593012/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593013/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593014/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593015/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593016/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/593017/format/3
