URI,Title,RecordId,Coin Type URI,From Date,To Date,Artist,SubjectEvent,SubjectIssuer,SubjectPerson,SubjectPlace,Authority,Coin Type,Degree,Deity,Denomination,Department,Dynasty,Engraver,Issuer,Maker,Manufacture,Material,Mint,Object Type,Portrait,Reference,Region,Script,State,Obverse Legend,Obverse Type,Reverse Legend,Reverse Type,Date on Object,Ah,Axis,Diameter,Weight,Thumbnail_obv,Thumbnail_rev,Date Record Modified
http://numismatics.org/collection/1965.159.5,"Gold dinar of Muhammad I, al-Ahwaz, 512 H. 1965.159.5",1965.159.5,,1118.0,1119.0,,,,,,Muhammad I,,,,dinar,Islamic,Great Seljuq,,,,,Gold,al-Ahwaz,Coin,,,Mashriq,,,,,,,,512.0,,25.0,3.582,http://numismatics.org/collectionimages/19501999/1965/1965.159.5.obv.width175.jpg,http://numismatics.org/collectionimages/19501999/1965/1965.159.5.rev.width175.jpg,2020-07-31T01:11:21Z
http://numismatics.org/collection/1952.73.2,"Gold 1/4 dinar of al-Mustansir, Siqilliyya, 444 H. 1952.73.2",1952.73.2,,1052.0,1053.0,,,,,,al-Mustansir,,,,1/4 dinar,Islamic,Fatimid,,,,,Gold,Siqilliyya,Coin,,,Maghrib,,,,,,,,444.0,,14.5,1.008,http://numismatics.org/collectionimages/19501999/1952/1952.73.2.obv.width175.jpg,http://numismatics.org/collectionimages/19501999/1952/1952.73.2.rev.width175.jpg,2020-07-31T01:09:35Z
http://numismatics.org/collection/1965.17.3,"Gold dinar of Mansur I ibn Nuh I, Nisabur, 357 H. 1965.17.3",1965.17.3,,967.0,968.0,,,,,,Mansur I ibn Nuh I,,,,dinar,Islamic,Samanid,,,,,Gold,Nisabur,Coin,,Album,Mashriq,,Samanids,,,,,,357.0,,,,http://numismatics.org/collectionimages/19501999/1965/1965.17.3.obv.width175.jpg,http://numismatics.org/collectionimages/19501999/1965/1965.17.3.rev.width175.jpg,2020-07-31T01:11:56Z
http://numismatics.org/collection/1965.17.5,"Gold dinar of Nuh III ibn Mansur I/Husam al-Dawla, Nisabur, 374 H. 1965.17.5",1965.17.5,,984.0,985.0,,,,,,Nuh III ibn Mansur I||Husam al-Dawla,,,,dinar,Islamic,Samanid,,,,,Gold,Nisabur,Coin,,Album,Mashriq,,Samanids,,,,,,374.0,,,,http://numismatics.org/collectionimages/19501999/1965/1965.17.5.obv.width175.jpg,http://numismatics.org/collectionimages/19501999/1965/1965.17.5.rev.width175.jpg,2020-07-31T01:10:24Z
http://numismatics.org/collection/1965.174.1,"Copper alloy fals of Malikshah I, , 1072 - 1092. 1965.174.1",1965.174.1,,1072.0,1092.0,,,,,,Malikshah I,,,,fals,Islamic,Great Seljuq,,,,,Copper alloy,,Coin,,,Mashriq,,,,,,,,,,,5.609,http://numismatics.org/collectionimages/19501999/1965/1965.174.1.obv.width175.jpg,http://numismatics.org/collectionimages/19501999/1965/1965.174.1.rev.width175.jpg,2020-07-31T01:08:46Z
http://numismatics.org/collection/1950.73.2,"Gold dinar of Mahmud/Mansur I ibn Nuh I, Nisabur, 387 H. 1950.73.2",1950.73.2,,997.0,998.0,,,,,,Mahmud||Mansur I ibn Nuh I,,,,dinar,Islamic,Ghaznavid \ Samanid,,,,,Gold,Nisabur,Coin,,Album A1602,Mashriq,,Samanids,,,,,,387.0,,,,http://numismatics.org/collectionimages/19501999/1950/1950.73.2.obv.width175.jpg,http://numismatics.org/collectionimages/19501999/1950/1950.73.2.rev.width175.jpg,2020-07-31T01:10:22Z
http://numismatics.org/collection/1950.73.3,"Gold dinar of Toghanshah/Tekish, Nishapur/Nisabur, xxx H. 1950.73.3",1950.73.3,,1177.0,1187.0,,,,,,Toghanshah||Tekish,,,,dinar,Islamic,Amirs of Nishapur \ Khwarizmshah,,,,,Gold,Nishapur||Nisabur,Coin,,Album 1708.1/2R,,,,,,,,,,2.0,24.0,3.053,http://numismatics.org/collectionimages/19501999/1950/1950.73.3.obv.width175.jpg,http://numismatics.org/collectionimages/19501999/1950/1950.73.3.rev.width175.jpg,2020-07-31T01:07:54Z
http://numismatics.org/collection/1965.144.30,"Glass Weight of al-Zahir, NE Africa, 413 H. 1965.144.30",1965.144.30,,1022.0,1023.0,,"Spertus Museum, Chicago, 2001",,,,al-Zahir,,,,,Islamic,Fatimid glass,,,,,Glass,,Weight,,,NE Africa,,,,,,,,413.0,,26.0,5.85,http://numismatics.org/collectionimages/19501999/1965/1965.144.30.obv.width175.jpg,http://numismatics.org/collectionimages/19501999/1965/1965.144.30.rev.width175.jpg,2020-07-31T01:10:39Z
http://numismatics.org/collection/1965.159.3,"Gold dinar of Muhammad I, al-Ahwaz, 504 H. 1965.159.3",1965.159.3,,1110.0,1111.0,,,,,,Muhammad I,,,,dinar,Islamic,Great Seljuq,,,,,Gold,al-Ahwaz,Coin,,,Mashriq,,,,,,,,504.0,,24.0,4.066,http://numismatics.org/collectionimages/19501999/1965/1965.159.3.obv.width175.jpg,http://numismatics.org/collectionimages/19501999/1965/1965.159.3.rev.width175.jpg,2020-07-31T01:13:41Z
http://numismatics.org/collection/1952.73.1,"Gold 1/4 dinar of al-Hakim bi-Amr Allah, al-Mahdiyya, 410 H. 1952.73.1",1952.73.1,,1019.0,1020.0,,,,,,al-Hakim bi-Amr Allah,,,,1/4 dinar,Islamic,Fatimid,,,,,Gold,al-Mahdiyya,Coin,,,Maghrib,,Fatimids,,,,,,410.0,8.0,13.0,1.015,http://numismatics.org/collectionimages/19501999/1952/1952.73.1.obv.width175.jpg,http://numismatics.org/collectionimages/19501999/1952/1952.73.1.rev.width175.jpg,2020-07-31T01:09:01Z
